parameter,value,world_death_rate,global_blue_fraction,blue_wins
china_trust,0.64,0.05141530452856179,0.05141530452856179,False
china_trust,0.45,0.014712749566919208,0.014712749566919208,False
china_trust,0.3,0.006970623749766653,0.006970623749766653,False
china_trust,0.2,0.0057699563855126085,0.0057699563855126085,False
altruism,0.1,0.012875933854540594,0.012875933854540594,False
altruism,0.2,0.0327216884632497,0.0327216884632497,False
altruism,0.28,0.05141530452856179,0.05141530452856179,False
altruism,0.4,0.08131661790565782,0.08131661790565782,False
altruism,0.5,0.1063055244881804,0.1063055244881804,False
altruism,0.7,0.15346247705848765,0.15346247705848765,False
altruism,1.0,0.2149543782916835,0.2149543782916835,False
lambda,1.0,0.05141530452856179,0.05141530452856179,False
lambda,1.5,0.028341819969132053,0.028341819969132053,False
lambda,2.25,0.014306976454859177,0.014306976454859177,False
concentration,4.0,0.07054332315629706,0.07054332315629706,False
concentration,5.0,0.062292703674138625,0.062292703674138625,False
concentration,6.0,0.05618827946806483,0.05618827946806483,False
concentration,7.0,0.05141530452856179,0.05141530452856179,False
concentration,8.0,0.047511922369908186,0.047511922369908186,False
concentration,10.0,0.04133594992512335,0.04133594992512335,False
trust_delta,-0.03,0.04117265331436271,0.04117265331436271,False
trust_delta,0.0,0.05141530452856179,0.05141530452856179,False
trust_delta,0.03,0.06341459994123655,0.06341459994123655,False
